0.000000000E0,5.013084112E2,-2.557009346E2
1.024380250E-1,5.011934998E2,-2.557422091E2
2.048760500E-1,5.014564744E2,-2.551458015E2
3.073140750E-1,5.022090178E2,-2.557174133E2
4.097521000E-1,5.022585143E2,-2.558223857E2
5.121901250E-1,5.023578302E2,-2.557193303E2
6.146281500E-1,5.026052017E2,-2.556813268E2
7.170661750E-1,5.022673415E2,-2.557968115E2
8.195042000E-1,5.023783674E2,-2.560795038E2
9.219422250E-1,5.024487000E2,-2.565198474E2
1.024380250E0,5.022731297E2,-2.560957019E2
1.126818275E0,5.021789708E2,-2.561029807E2
1.229256300E0,5.022665984E2,-2.556399156E2
1.331694325E0,5.026595095E2,-2.553385098E2
1.434132350E0,5.031466163E2,-2.557591078E2
1.536570375E0,5.036213190E2,-2.558468711E2
1.639008400E0,5.036308354E2,-2.557458196E2
1.741446425E0,5.041927568E2,-2.558944529E2
1.843884450E0,5.038627634E2,-2.561112720E2
1.946322475E0,5.039403275E2,-2.560213924E2
2.048760500E0,5.042551445E2,-2.556843372E2
2.151198525E0,5.045957027E2,-2.553052845E2
2.253636550E0,5.046127605E2,-2.552808013E2
2.356074575E0,5.044223450E2,-2.557088996E2
2.458512600E0,5.044303708E2,-2.558290736E2
2.560950625E0,5.049702396E2,-2.559911392E2
2.663388650E0,5.055099249E2,-2.553700739E2
2.765826675E0,5.057053878E2,-2.555903079E2
2.868264700E0,5.059541190E2,-2.555348554E2
2.970702725E0,5.063827852E2,-2.557710576E2
3.073140750E0,5.064782709E2,-2.563986750E2
3.175578775E0,5.065152082E2,-2.564708664E2
3.278016800E0,5.062646229E2,-2.562120229E2
3.380454825E0,5.063242889E2,-2.558789264E2
3.482892850E0,5.067780811E2,-2.555140884E2
3.585330875E0,5.063209611E2,-2.556429053E2
3.687768900E0,5.063408953E2,-2.557765447E2
3.790206925E0,5.067727560E2,-2.557269561E2
3.892644950E0,5.065917139E2,-2.556348527E2
